Year,gdp_growth,gdp_per_capita,inflation_cpi,unemployment_rate,government_debt_percent_gdp,government_consumption_percent,exports_percent_gdp,imports_percent_gdp,current_account_balance_percent,gross_capital_formation_percent,fdi_inflows_percent,poverty_rate,gini_index,oil_rent_percent,natural_resource_rent_percent
2024,5.29999999999984,4217.59102643391,,5.475,,,16.8598487040821,9.22131705556772,,4.89832894999471,1.36272366359347,,,,
2023,4.00168591128376,3617.43594578269,,5.485,,,18.0669268537087,10.0276808835044,,5.32602340018542,0.0126982233499548,,,,
2022,8.00091310654791,3155.04207099687,,5.707,,,16.349207455802,11.5490696092002,,6.16853801723696,2.63893280227629,,,,
2021,0.955433428579269,2004.93397949792,,7.037,,,15.3499941243626,13.8763459068101,,8.85638471624057,2.14254260514198,,,,
2020,-29.9985699155957,1506.0436210041,,7.53,,,13.0058139910429,13.0854205048277,,9.20648260090937,3.51089983775956,,,,
2019,-27.6579678662627,2523.11275230667,,5.876,,,47.1960981908994,10.9331921347509,,6.8009453414021,0.772453708102055,,,,
2018,-19.6553415972227,3422.65467014854,,5.46,,,42.5555320878765,12.0895347026834,,4.27874773027808,0.609677838011936,,,,
2017,-15.6714088720003,3791.33160682077,,5.045,,,33.306440304425,9.27649553645015,,5.11119937447288,-0.25801825119328,,,,
2016,-17.0403345996548,3670.15737848208,254.948534781816,5.319,,,31.1184040845836,10.1888131140714,-3.42735582137767,10.2452932078279,1.40548157326263,,,,
2015,-6.22137102671199,4103.1384987005,121.738085297503,6.137,,,40.7360976438028,19.5527484580022,-12.794816292983,19.4300976741623,2.35633150346133,33.1,,,
2014,-3.89438647450667,7096.22047105512,62.1686499794829,6.821,,,43.5445803174978,20.6628597937982,2.29121469435025,19.7353965921039,0.528670192739894,29.5,,11.3021511747501,11.8465082797294
2013,1.34309403607486,8656.35669723668,40.6394275161589,7.54,,,30.1994429603504,32.2800784611082,1.77808224034035,31.6959701007059,0.828407125440933,29.4,,16.7771388276982,17.6253449138361
2012,5.62595697508632,12607.2361246243,21.0689956331876,6.601,,,29.5076845272947,21.1408993555759,0.694056652948561,23.8030669286226,1.33819275777321,27.2,,17.9387823718967,18.7812359044725
2011,4.17642535923936,10843.9229703167,26.0902123160959,6.902,,11.5177950119703,29.9430146096987,19.6951069871008,5.1636396849605,23.0723970782658,1.85002511047875,27.4,,23.1450195251423,24.4753357613612
2010,-1.48879125078356,13646.3046622664,28.1874647092039,7.112,,11.2095388384583,28.5304069880193,17.606486536001,1.42042436378266,21.9716579748512,0.402601927997842,26.8,,11.6928975467648,12.380878328857
2009,-3.20230265749002,11596.6021921731,27.080941446613,6.097,,13.7002994343477,18.0715188695789,20.4494107887508,0.13008371520602,25.7969460220917,-0.344767329112459,26.4,,9.95847654408777,10.5416668243022
2008,5.27785412398785,11262.4514256759,,6.245,,11.8580025862905,30.8216690057259,21.0073433732672,9.9055750430549,26.8261258775663,0.659274461280102,27.7,,22.6737847784336,23.9223070628002
2007,8.75357880785845,8331.62096991844,,7.279,,12.4710694856514,31.1305388597077,25.0685566221832,5.84466290956638,30.3400382701657,1.89178854425804,27.5,,21.6186473049421,23.1186941835454
2006,9.87214910851037,6739.38065342218,,8.606,,11.7106781208584,36.5186216079437,22.1469699505166,14.422475131385,26.921912843379,0.107915126446007,33.1,44.7,26.8186567625884,28.0774680117788
2005,10.3179138043147,5432.4854184654,,10.663,,11.0559042160378,39.6586527436252,20.468677012517,17.4877257502927,23.0040335685058,1.68369269808689,42.4,49.3,28.0538745861065,29.2230041014033
2004,18.2866066891244,4269.08970872392,,15.07,,11.9559161739061,36.1983535672104,19.1691020351116,13.8006284860414,21.798464440157,1.32412757366554,53.1,47.3,23.0890395880635,23.8297115705399
2003,-7.75530004959877,3229.50557082079,,16.78,,12.8707769572649,33.8533894084396,16.7236179697545,14.1065670038791,15.2174422722,1.88111477594963,54.0,47.9,21.1779581221907,21.8955843439596
2002,-8.85564735286771,3652.09896501865,,16.17,,13.0073547920911,30.4335705492145,18.1421401001924,8.18032781959924,21.1588880528986,0.819216932585212,41.1,48.9,18.7480489712018,19.4545884689745
2001,3.39423610779077,4920.39313600453,,13.04,,14.2372389072529,22.7356315651648,19.4056364521971,1.61336203199244,27.5241676945984,3.01356175819466,31.1,47.2,14.809781275052,15.3442903568827
