"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0311","......13 South Africa","27.62734032","Million USD","Normal","","311","Workers' remittances received from South Africa"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0312","......14 South Korea","9.36044501","Million USD","Normal","","312","Workers' remittances received from South Korea"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0320","......15 Other Countries","94.8572941","Million USD","Normal","","320","Workers' remittances received from Other Countries"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3588.970564","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0010","I. Cash Flow","3188.337716","Million USD","Normal","","10","Total Cash inflow of Workers' remittances in Pakistan in a month"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0020","......1 USA","277.0124293","Million USD","Normal","","20","Workers' remittances received from U.S.A."
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0030","......2 U.K.","480.658691","Million USD","Normal","","30","Workers' remittances received from U.K."
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0040","......3 Saudi Arabia","753.0208946","Million USD","Normal","","40","Workers' remittances received from Saudi Arabia"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0050","......4 U.A.E.","675.0469905","Million USD","Normal","","50","Workers' remittances received from U.A.E."
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0060","............. Dubai","566.9760535","Million USD","Normal","","60","Workers' remittances received from Dubai"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0070","............. Abu Dhabi","89.84022154","Million USD","Normal","","70","Workers' remittances received from Abu Dhabi"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0080","............. Sharjah","5.871177772","Million USD","Normal","","80","Workers' remittances received from Sharjah"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0090","............. Others","12.35953777","Million USD","Normal","","90","Workers' remittances received from Other four U.A.E.'s States"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0100","......5 Other GCC Countries","298.8535944","Million USD","Normal","","100","Workers' remittances received from Other GCC Countries excluding Saudi Arabia & U.A.E."
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0110","............. Bahrain","42.70237284","Million USD","Normal","","110","Workers' remittances received from Bahrain"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0120","............. Kuwait","76.50051514","Million USD","Normal","","120","Workers' remittances received from Kuwait"
